index,host,source,sourcetype,"_raw","_time"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:13] ""POST /product.screen?productId=WC-SH-A01&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 200 466 ""http://www.google.com"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 790","2020-01-27T00:01:13.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:13] ""GET /cart.do?action=addtocart&itemId=EST-18&productId=WC-SH-A02&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 200 579 ""http://www.buttercupgames.com/product.screen?productId=WC-SH-A02"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 304","2020-01-27T00:01:13.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:14] ""POST /category.screen?categoryId=SIMULATION&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 200 1042 ""http://www.buttercupgames.com/cart.do?action=view&itemId=EST-18&productId=SC-MG-G10"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 482","2020-01-27T00:01:14.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:15] ""GET /cart.do?action=purchase&itemId=EST-21&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 400 1628 ""http://www.buttercupgames.com/oldlink?itemId=EST-21"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 179","2020-01-27T00:01:15.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:16] ""GET /category.screen?categoryId=STRATEGY&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 200 724 ""http://www.buttercupgames.com/product.screen?productId=FS-SG-G03"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 499","2020-01-27T00:01:16.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:16] ""POST /product.screen?productId=PZ-SG-G05&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 200 969 ""http://www.buttercupgames.com/oldlink?itemId=EST-21"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 896","2020-01-27T00:01:16.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www3/access.log","access_combined_wcookie","71.192.86.205 - - [27/Jan/2020:00:01:17] ""GET /product.screen?productId=SF-BVS-G01&JSESSIONID=SD5SL10FF4ADFF47813 HTTP 1.1"" 503 316 ""http://www.buttercupgames.com/category.screen?categoryId=NULL"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.46 Safari/536.5"" 427","2020-01-27T00:01:17.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www1/access.log","access_combined_wcookie","125.89.78.6 - - [27/Jan/2020:00:03:24] ""GET /product.screen?productId=CU-PG-G06&JSESSIONID=SD6SL9FF6ADFF47814 HTTP 1.1"" 200 3892 ""http://www.google.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3"" 771","2020-01-27T00:03:24.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www1/access.log","access_combined_wcookie","125.89.78.6 - - [27/Jan/2020:00:03:25] ""GET /product.screen?productId=SF-BVS-G01&JSESSIONID=SD6SL9FF6ADFF47814 HTTP 1.1"" 400 2467 ""http://www.buttercupgames.com/category.screen?categoryId=NULL"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3"" 860","2020-01-27T00:03:25.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www1/access.log","access_combined_wcookie","125.89.78.6 - - [27/Jan/2020:00:03:25] ""GET /product.screen?productId=SC-MG-G10&JSESSIONID=SD6SL9FF6ADFF47814 HTTP 1.1"" 200 2044 ""http://www.buttercupgames.com/category.screen?categoryId=SIMULATION"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3"" 117","2020-01-27T00:03:25.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www1/access.log","access_combined_wcookie","125.89.78.6 - - [27/Jan/2020:00:03:26] ""POST /cart.do?action=addtocart&itemId=EST-19&productId=SC-MG-G10&JSESSIONID=SD6SL9FF6ADFF47814 HTTP 1.1"" 200 3891 ""http://www.buttercupgames.com/product.screen?productId=SC-MG-G10"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3"" 852","2020-01-27T00:03:26.000+0530"
main,"DESKTOP-M0DLDHS","tutorialdata.zip:.\www1/access.log","access_combined_wcookie","125.89.78.6 - - [27/Jan/2020:00:03:26] ""GET /oldlink?itemId=EST-21&JSESSIONID=SD6SL9FF6ADFF47814 HTTP 1.1"" 200 3021 ""http://www.buttercupgames.com/product.screen?productId=PZ-SG-G05"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.5 Safari/534.55.3"" 937","2020-01-27T00:03:26.000+0530"
